('Aaron', 'Adeline', 'Five Points', 'Shiloh', 21210946, Decimal('1300.53'), Decimal('-9732.05'))
('Aaron', 'Bryon', 'Pleasant Hill', 'Oak Grove', 6786748, Decimal('446.67'), Decimal('-12194.42'))
('Aaron', 'Christopher', 'Unionville', 'Red Hill', 17578386, Decimal('93.89'), Decimal('-7457.43'))
('Aaron', 'Darlene', 'Mount Pleasant', 'Lakeview', 23246042, Decimal('1173.48'), Decimal('-15810.32'))
('Aaron', 'Elizabeth', 'Mount Vernon', 'Fairview', 105981, Decimal('40.40'), Decimal('-6317.23'))
('Aaron', 'Elva', 'Pleasant Valley', 'Fairfield', 16409643, Decimal('4141.41'), Decimal('-12465.52'))
('Aaron', 'Erica', 'Georgetown', 'Edgewater', 15458973, Decimal('1423.59'), Decimal('-7999.96'))
('Aaron', 'Florence', 'Liberty', 'Unionville', 18478924, Decimal('3151.07'), Decimal('-7279.73'))
('Aaron', 'Francesca', 'Mount Olive', 'Lakeview', 15953390, Decimal('5999.56'), Decimal('-9394.51'))
('Aaron', 'Frank', 'Lakewood', 'Clinton', 5450721, Decimal('1262.96'), Decimal('-12681.39'))
('Aaron', 'Freddie', 'Plainview', 'Arlington', 5926883, Decimal('1831.41'), Decimal('-1706.60'))
('Aaron', 'Gabriela', 'Bayside', 'Mount Pleasant', 13415304, Decimal('345.80'), Decimal('-11443.18'))
('Aaron', 'Heather', 'Waterloo', 'Spring Hill', 1523619, Decimal('151.20'), Decimal('-9778.20'))
('Aaron', 'Henry', 'Waterloo', 'Springfield', 8879307, Decimal('2372.75'), Decimal('-9445.22'))
('Aaron', 'Jason', 'Liberty', 'Riverview', 8909465, Decimal('0.00'), Decimal('-1364.60'))
('Aaron', 'Judith', 'Shady Grove', 'Pleasant Valley', 18315193, Decimal('2033.82'), Decimal('-8819.79'))
('Aaron', 'Judy', 'Georgetown', 'Jamestown', 9340673, Decimal('1588.53'), Decimal('-10289.11'))
('Aaron', 'Justin', 'Bethesda', 'Mount Pleasant', 20148517, Decimal('0.00'), Decimal('-15237.92'))
('Aaron', 'Kathy', 'Marion', 'Bunker Hill', 23136259, Decimal('0.00'), Decimal('-6263.93'))
('Aaron', 'Kimberly', 'Centerville', 'Shiloh', 23770386, Decimal('2352.77'), Decimal('-13653.52'))
('Aaron', 'Larry', 'Midway', 'Mount Zion', 7214638, Decimal('1213.81'), Decimal('-10017.30'))
('Aaron', 'Marylyn', 'Florence', 'Calhoun', 13952267, Decimal('2779.90'), Decimal('-8855.14'))
