('AAAAAAAAIAAAAAAA', 'California', 'Wayne Ray', Decimal('42413.49'))
('AAAAAAAAABAAAAAA', 'North Midwest_1', 'Miguel Bird', Decimal('30315.21'))
('AAAAAAAACAAAAAAA', 'Mid Atlantic', 'Mark Hightower', Decimal('28080.48'))
('AAAAAAAAABAAAAAA', 'North Midwest_1', 'Miguel Bird', Decimal('25523.96'))
('AAAAAAAACAAAAAAA', 'Mid Atlantic', 'Mark Hightower', Decimal('24169.85'))
('AAAAAAAAEAAAAAAA', 'North Midwest', 'Larry Mccray', Decimal('23663.87'))
('AAAAAAAAKBAAAAAA', 'Mid Atlantic_2', 'Dion Speer', Decimal('22721.26'))
('AAAAAAAAKAAAAAAA', 'Hawaii/Alaska', 'Gregory Altman', Decimal('20809.65'))
('AAAAAAAAIAAAAAAA', 'California', 'Wayne Ray', Decimal('19557.98'))
('AAAAAAAAOAAAAAAA', 'Mid Atlantic_1', 'Charles Hinkle', Decimal('19324.23'))
('AAAAAAAADBAAAAAA', 'Pacific Northwest_1', 'Roderick Walls', Decimal('19096.72'))
('AAAAAAAAEBAAAAAA', 'California_1', 'Jason Brito', Decimal('18068.26'))
('AAAAAAAANAAAAAAA', 'NY Metro_1', 'Jack Little', Decimal('17897.79'))
('AAAAAAAAHAAAAAAA', 'Pacific Northwest', 'Alden Snyder', Decimal('16942.68'))
('AAAAAAAAMBAAAAAA', 'North Midwest_2', 'David Brown', Decimal('16830.99'))
('AAAAAAAANAAAAAAA', 'NY Metro_1', 'Jack Little', Decimal('15784.39'))
('AAAAAAAAGBAAAAAA', 'Hawaii/Alaska_1', 'Travis Wilson', Decimal('15660.61'))
('AAAAAAAAGBAAAAAA', 'Hawaii/Alaska_1', 'Travis Wilson', Decimal('15616.03'))
('AAAAAAAAHAAAAAAA', 'Pacific Northwest', 'Alden Snyder', Decimal('15521.18'))
('AAAAAAAADBAAAAAA', 'Pacific Northwest_1', 'Roderick Walls', Decimal('15304.71'))
('AAAAAAAAKAAAAAAA', 'Hawaii/Alaska', 'Gregory Altman', Decimal('15284.44'))
('AAAAAAAAEBAAAAAA', 'California_1', 'Jason Brito', Decimal('14143.04'))
('AAAAAAAAEAAAAAAA', 'North Midwest', 'Larry Mccray', Decimal('13958.70'))
('AAAAAAAAMBAAAAAA', 'North Midwest_2', 'David Brown', Decimal('13754.97'))
('AAAAAAAABAAAAAAA', 'NY Metro', 'Bob Belcher', Decimal('11670.20'))
('AAAAAAAAOAAAAAAA', 'Mid Atlantic_1', 'Charles Hinkle', Decimal('11649.66'))
('AAAAAAAAKBAAAAAA', 'Mid Atlantic_2', 'Dion Speer', Decimal('11362.62'))
('AAAAAAAAJBAAAAAA', 'NY Metro_2', 'Richard James', Decimal('9962.29'))
('AAAAAAAAJBAAAAAA', 'NY Metro_2', 'Richard James', Decimal('9617.17'))
('AAAAAAAABAAAAAAA', 'NY Metro', 'Bob Belcher', Decimal('7887.57'))
