('Aaron', 'Larry', 'Jenkins', 'Lakeside', 3082040, Decimal('14122.46'), Decimal('881.01'), Decimal('43135.32'))
('Abbott', 'Shelley', 'Highland', 'Sunnyside', 541225, Decimal('25053.75'), Decimal('864.09'), Decimal('56136.83'))
('Abbott', 'Mae', 'Five Points', 'Jackson', 7526845, Decimal('35475.58'), Decimal('2323.51'), Decimal('60609.22'))
('Abbott', 'Clifton', 'Jackson', 'Cedar Grove', 8828832, Decimal('12983.20'), Decimal('620.86'), Decimal('33658.23'))
('Abbott', 'Erica', 'Five Forks', 'Spring Hill', 18986042, Decimal('9849.03'), Decimal('230.14'), Decimal('23934.35'))
('Abel', 'Misty', 'Sulphur Springs', 'Colfax', 8930189, Decimal('23278.47'), Decimal('945.70'), Decimal('55896.25'))
('Abel', 'Beverly', 'Oakdale', 'Harmony', 22493128, Decimal('24506.60'), Decimal('868.43'), Decimal('41999.35'))
('Abernathy', 'Charles', 'Marion', 'White Oak', 23621877, Decimal('17236.23'), Decimal('959.14'), Decimal('46081.99'))
('Abney', 'Jose', 'Maywood', 'Pine Grove', 10077930, Decimal('27148.41'), Decimal('879.42'), Decimal('54885.95'))
('Abney', 'Sara', 'Ashland', 'Mountain View', 17241082, Decimal('21607.44'), Decimal('1367.06'), Decimal('38611.21'))
('Abney', 'Raymond', 'Hamilton', 'Smith', 19720526, Decimal('5994.04'), Decimal('287.94'), Decimal('18071.27'))
('Abraham', 'Susan', 'Arlington', 'Woodville', 295247, Decimal('16645.43'), Decimal('525.02'), Decimal('45477.85'))
('Abraham', 'Vera', 'Riverdale', 'Green Acres', 1726889, Decimal('25093.52'), Decimal('1294.45'), Decimal('43399.83'))
('Abraham', 'Larry', 'Harmony', 'Waterloo', 7524074, Decimal('20187.57'), Decimal('961.89'), Decimal('32932.40'))
('Abraham', 'Carolyne', 'Prosperity', 'Summerville', 13138172, Decimal('29181.49'), Decimal('1833.81'), Decimal('49132.39'))
('Abraham', 'Robert', 'Newport', 'Pinecrest', 13516660, Decimal('38479.40'), Decimal('1404.22'), Decimal('54780.33'))
('Abraham', None, 'Four Points', 'Harmony', 18032406, Decimal('30202.78'), Decimal('1240.00'), Decimal('47546.67'))
('Abrams', 'Lisa', 'Morgantown', 'Quincy', 10745925, Decimal('28900.05'), Decimal('931.49'), Decimal('75438.60'))
('Abrams', 'Coreen', 'Unionville', 'Vista', 12512123, Decimal('32295.35'), Decimal('1394.22'), Decimal('48650.21'))
('Abreu', 'Darryl', 'Union Hill', 'Sunnyside', 8126698, Decimal('26986.63'), Decimal('366.81'), Decimal('58524.35'))
('Acevedo', 'Kristina', 'Oakland', 'Shiloh', 2800738, Decimal('19061.19'), Decimal('598.60'), Decimal('27566.61'))
('Acevedo', 'Samuel', 'Woodland', 'Greenwood', 4449699, Decimal('20298.16'), Decimal('1226.93'), Decimal('63826.24'))
